Benchmark,Source File,Optimized File,Root Struct,Preprocess Result,Time Seconds,Message
AveragePooling2D_stride_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/AveragePooling2D_stride_test_llzk/AveragePooling2D_stride_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/AveragePooling2D_stride_test.llzk,AveragePooling2D_2,success,0.193133,
AveragePooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/AveragePooling2D_test_llzk/AveragePooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/AveragePooling2D_test.llzk,AveragePooling2D_2,success,0.100781,
BatchNormalization_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/BatchNormalization_test_llzk/BatchNormalization_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/BatchNormalization_test.llzk,BatchNormalization2D_0,success,0.056640,
Conv1D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Conv1D_test_llzk/Conv1D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Conv1D_test.llzk,Conv1D_3,success,0.131240,
Conv2D_stride_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Conv2D_stride_test_llzk/Conv2D_stride_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Conv2D_stride_test.llzk,Conv2D_3,success,0.166751,
Conv2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Conv2D_test_llzk/Conv2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Conv2D_test.llzk,Conv2D_3,success,0.166621,
Dense_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Dense_test_llzk/Dense_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Dense_test.llzk,Dense_3,success,0.095087,
Flatten2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Flatten2D_test_llzk/Flatten2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Flatten2D_test.llzk,Flatten2D_0,success,0.055048,
GlobalAveragePooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/GlobalAveragePooling2D_test_llzk/GlobalAveragePooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/GlobalAveragePooling2D_test.llzk,GlobalAveragePooling2D_2,success,0.081431,
GlobalMaxPooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/GlobalMaxPooling2D_test_llzk/GlobalMaxPooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/GlobalMaxPooling2D_test.llzk,GlobalMaxPooling2D_5,success,0.130368,
