Benchmark,Root Struct,Mode,Result,Time Seconds,Message
AveragePooling2D_stride_test,AveragePooling2D_2,verify,timeout,120.134745,timeout
AveragePooling2D_stride_test,AveragePooling2D_2,wp,error,0.215252,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001028e2c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001028e0744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001028e381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
AveragePooling2D_test,AveragePooling2D_2,verify,error,64.930061,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000104ac2c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104ac0744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104ac381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
AveragePooling2D_test,AveragePooling2D_2,wp,error,0.211558,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000103182c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000103180744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010318381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
BatchNormalization_test,BatchNormalization2D_0,verify,verified,84.914143,
BatchNormalization_test,BatchNormalization2D_0,wp,error,0.279893,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000104d0ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104d0c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104d0f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
Conv1D_test,Conv1D_3,verify,timeout,120.195999,timeout
Conv1D_test,Conv1D_3,wp,error,0.231608,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x00000001009e6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001009e4744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001009e781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
Conv2D_stride_test,Conv2D_3,verify,timeout,120.022678,timeout
Conv2D_stride_test,Conv2D_3,wp,error,0.233801,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x000000010342ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000103428744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010342b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
