Benchmark,Root Struct,Mode,Result,Time Seconds,Message
AveragePooling2D_stride_test,AveragePooling2D_2,verify,timeout,120.127979,timeout
AveragePooling2D_stride_test,AveragePooling2D_2,wp,error,0.558024,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000100635a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000100633584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010063665c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
AveragePooling2D_test,AveragePooling2D_2,verify,timeout,120.120652,timeout
AveragePooling2D_test,AveragePooling2D_2,wp,error,0.606466,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000102819a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102817584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010281a65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
BatchNormalization_test,BatchNormalization2D_0,verify,verified,106.799756,
BatchNormalization_test,BatchNormalization2D_0,wp,counterexample,0.313968,sat
Conv1D_test,Conv1D_3,verify,timeout,120.097787,timeout
Conv1D_test,Conv1D_3,wp,error,0.593150,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x0000000102e89a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102e87584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000102e8a65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
Conv2D_stride_test,Conv2D_3,verify,timeout,120.104635,timeout
Conv2D_stride_test,Conv2D_3,wp,error,0.752514,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x0000000104bbda74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000104bbb584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000104bbe65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
Conv2D_test,Conv2D_3,verify,timeout,120.106029,timeout
Conv2D_test,Conv2D_3,wp,error,0.745842,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x0000000100875a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000100873584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010087665c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
DecomposeProduct,DecomposeProduct_1,verify,error,1.090924,"error: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/DecomposeProduct.llzk"":53:24):failed to legalize operation 'builtin.unrealized_conversion_cast'
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/DecomposeProduct.llzk"":53:24):see current operation: %27 = ""builtin.unrealized_conversion_cast""(%26) : (i1) -> !smt.bool
LLVM ERROR: failed to prepare module for verification
 #0 0x0000000101185a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/L"
DecomposeProduct,DecomposeProduct_1,wp,timeout,120.066071,timeout
Dense_test,Dense_3,verify,error,3.405989,"warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/Dense_test.llzk"":15:11):unhandled operation, analysis may be incomplete
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/Dense_test.llzk"":15:11):see current operation: scf.condition(%3)
Assertion failed: (resultNumber < getNumResults() && ""Result number is out of range for operation""), function getOpResultImpl, file /nix/store/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-mlir-debug-20.1.8-dev/include/mlir/IR/Operation.h, line "
Dense_test,Dense_3,wp,error,0.308930,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104c85a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000104c83584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000104c8665c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
Flatten2D_test,Flatten2D_0,verify,verified,20.712460,
Flatten2D_test,Flatten2D_0,wp,counterexample,0.303760,sat
GlobalAveragePooling2D_test,GlobalAveragePooling2D_2,verify,timeout,120.127025,timeout
GlobalAveragePooling2D_test,GlobalAveragePooling2D_2,wp,error,0.660509,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000103449a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000103447584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010344a65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
GlobalMaxPooling2D_test,GlobalMaxPooling2D_5,verify,error,67.638333,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000100a69a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000100a67584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000100a6a65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
GlobalMaxPooling2D_test,GlobalMaxPooling2D_5,wp,error,0.502640,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104ff5a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000104ff3584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000104ff665c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
IsNegative_test,IsNegative_4,verify,error,48.566624,"Assertion failed: ((((slen-1)*64)/22 <= numbits || radix != 10) && ""Insufficient bit width""), function fromString, file /nix/var/nix/builds/nix-24581-489863541/llvm-src-20.1.8/llvm/lib/Support/APInt.cpp, line 2106.
 #0 0x0000000105151a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x000000010514f584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010515265c Signa"
IsNegative_test,IsNegative_4,wp,error,0.684967,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000102a41a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102a3f584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000102a4265c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
